# t x0 y0 vx0 vy0 x1 y1 vx1 vy1 x2 y2 vx2 vy2 E Px Py r_probe_earth perigee
1.6200000000e+04 4.3549306827e+03 6.2527390580e+01 5.3756346301e-01 1.1578458574e-02 3.8404610633e+08 1.6551318852e+07 -4.3683888979e+01 1.0210591025e+03 3.1375972773e+08 1.9427296746e+07 -4.9268556983e+01 1.1976490402e+03 -3.7819715772e+28 -1.7057548098e+08 7.5106780000e+25 3.1435624917e+08 3.0778800000e+08
1.6500000000e+04 4.5176920221e+03 6.6065640138e+01 5.4751207562e-01 1.2011194359e-02 3.8403287989e+08 1.6857631324e+07 -4.4492340666e+01 1.0210239372e+03 3.1374481058e+08 1.9786578338e+07 -5.0179086771e+01 1.1975613060e+03 -3.7819715772e+28 -2.7129372784e+08 7.5106780000e+25 3.1436360707e+08 3.0778800000e+08
1.6800000000e+04 4.6834378936e+03 6.9734900713e+01 5.5746034333e-01 1.2451865313e-02 3.8401941093e+08 1.7163933150e+07 -4.5300764327e+01 1.0209881271e+03 3.1372962029e+08 2.0145833370e+07 -5.1089514742e+01 1.1974719727e+03 -3.7819715772e+28 -2.3647286828e+08 7.5106780000e+25 3.1437109886e+08 3.0778800000e+08
1.7100000000e+04 4.8521681929e+03 7.3537552815e+01 5.6740825988e-01 1.2900471165e-02 3.8400569944e+08 1.7470224136e+07 -4.6109159450e+01 1.0209516721e+03 3.1371415688e+08 2.0505061362e+07 -5.1999839051e+01 1.1973810408e+03 -3.7819715772e+28 6.6271751001e+07 7.5106780000e+25 3.1437872446e+08 3.0778800000e+08
1.7400000000e+04 5.0238828138e+03 7.7475976874e+01 5.7735581900e-01 1.3357011642e-02 3.8399174543e+08 1.7776504089e+07 -4.6917525528e+01 1.0209145724e+03 3.1369842040e+08 2.0864261835e+07 -5.2910057853e+01 1.1972885110e+03 -3.7819715772e+28 -2.4509853702e+08 7.5106780000e+25 3.1438648382e+08 3.0778800000e+08
1.7700000000e+04 5.1985816480e+03 8.1552553235e+01 5.8730301443e-01 1.3821486465e-02 3.8397754892e+08 1.8082772815e+07 -4.7725862052e+01 1.0208768279e+03 3.1368241086e+08 2.1223434309e+07 -5.3820169304e+01 1.1971943838e+03 -3.7819715772e+28 -3.9061207398e+08 7.5106780000e+25 3.1439437687e+08 3.0778800000e+08
1.8000000000e+04 5.3762645854e+03 8.5769662159e+01 5.9724983989e-01 1.4293895349e-02 3.8396310992e+08 1.8389030121e+07 -4.8534168511e+01 1.0208384387e+03 3.1366612831e+08 2.1582578305e+07 -5.4730171559e+01 1.1970986599e+03 -3.7819715772e+28 -5.3240401762e+08 7.5106780000e+25 3.1440240355e+08 3.0778800000e+08
1.8300000000e+04 5.5569315143e+03 9.0129683822e+01 6.0719628913e-01 1.4774238006e-02 3.8394842843e+08 1.8695275813e+07 -4.9342444396e+01 1.0207994047e+03 3.1364957277e+08 2.1941693345e+07 -5.5640062775e+01 1.1970013399e+03 -3.7819715772e+28 -6.0604404366e+08 7.5106780000e+25 3.1441056379e+08 3.0778800000e+08
1.8600000000e+04 5.7405823207e+03 9.4634998311e+01 6.1714235587e-01 1.5262514143e-02 3.8393350445e+08 1.9001509699e+07 -5.0150689199e+01 1.0207597260e+03 3.1363274428e+08 2.2300778950e+07 -5.6549841108e+01 1.1969024243e+03 -3.7819715772e+28 -1.3287338068e+09 7.5106780000e+25 3.1441885753e+08 3.0778800000e+08
1.8900000000e+04 5.9272168889e+03 9.9287985625e+01 6.2708803385e-01 1.5758723460e-02 3.8391833802e+08 1.9307731585e+07 -5.0958902411e+01 1.0207194027e+03 3.1361564288e+08 2.2659834640e+07 -5.7459504717e+01 1.1968019139e+03 -3.7819715772e+28 -1.4934871839e+09 7.5106780000e+25 3.1442728470e+08 3.0778800000e+08
1.9200000000e+04 6.1168351015e+03 1.0409102567e+02 6.3703331681e-01 1.6262865656e-02 3.8390292912e+08 1.9613941276e+07 -5.1767083521e+01 1.0206784347e+03 3.1359826859e+08 2.3018859939e+07 -5.8369051757e+01 1.1966998093e+03 -3.7819715772e+28 -1.0807322167e+09 7.5106780000e+25 3.1443584523e+08 3.0778800000e+08
1.9500000000e+04 6.3094368389e+03 1.0904649828e+02 6.4697819847e-01 1.6774940420e-02 3.8388727777e+08 1.9920138581e+07 -5.2575232022e+01 1.0206368221e+03 3.1358062146e+08 2.3377854367e+07 -5.9278480388e+01 1.1965961111e+03 -3.7819715772e+28 -1.1927667486e+09 7.5106780000e+25 3.1444453904e+08 3.0778800000e+08
1.9800000000e+04 6.5050219798e+03 1.1415678315e+02 6.5692267258e-01 1.7294947442e-02 3.8387138398e+08 2.0226323305e+07 -5.3383347403e+01 1.0205945649e+03 3.1356270151e+08 2.3736817446e+07 -6.0187788766e+01 1.1964908200e+03 -3.7819715772e+28 -1.8554234691e+09 7.5106780000e+25 3.1445336608e+08 3.0778800000e+08
2.0100000000e+04 6.7035904010e+03 1.1942425993e+02 6.6686673286e-01 1.7822886403e-02 3.8385524776e+08 2.0532495255e+07 -5.4191429156e+01 1.0205516631e+03 3.1354450880e+08 2.4095748699e+07 -6.1096975052e+01 1.1963839368e+03 -3.7819715772e+28 -1.4156546385e+09 7.5106780000e+25 3.1446232627e+08 3.0778800000e+08
2.0400000000e+04 6.9051419775e+03 1.2485130816e+02 6.7681037306e-01 1.8358756979e-02 3.8383886913e+08 2.0838654239e+07 -5.4999476772e+01 1.0205081168e+03 3.1352604334e+08 2.4454647649e+07 -6.2006037403e+01 1.1962754620e+03 -3.7819715772e+28 -1.2784398221e+09 7.5106780000e+25 3.1447141953e+08 3.0778800000e+08
2.0700000000e+04 7.1096765823e+03 1.3044030725e+02 6.8675358691e-01 1.8902558844e-02 3.8382224808e+08 2.1144800061e+07 -5.5807489741e+01 1.0204639260e+03 3.1350730519e+08 2.4813513817e+07 -6.2914973980e+01 1.1961653964e+03 -3.7819715772e+28 -1.0534824857e+09 7.5106780000e+25 3.1448064579e+08 3.0778800000e+08
2.1000000000e+04 7.3171940864e+03 1.3619363656e+02 6.9669636815e-01 1.9454291666e-02 3.8380538464e+08 2.1450932530e+07 -5.6615467555e+01 1.0204190906e+03 3.1348829437e+08 2.5172346728e+07 -6.3823782943e+01 1.1960537407e+03 -3.7819715772e+28 -1.1299410256e+09 7.5106780000e+25 3.1449000498e+08 3.0778800000e+08
